	pig#Liver#Neural	pig#Kidney#Epithelial	pig#Muscle#Neural	pig#Lung#Epithelial	pig#Heart#Immune	pig#Muscle#Immune	pig#Liver#Stromal	pig#Liver#Erythroid	pig#Liver#Immune	pig#Liver#Endothelial	pig#Heart#Epithelial	pig#Kidney#Endothelial	pig#Liver#Epithelial	pig#Muscle#Muscle	pig#Lung#Endothelial	pig#Heart#Neural	pig#Muscle#Stromal	pig#Heart#Muscle	pig#Heart#Endothelial	pig#Lung#Muscle	pig#Kidney#Immune	pig#Kidney#Stromal	pig#Muscle#Endothelial	pig#Lung#Immune	pig#Lung#Stromal	pig#Kidney#Erythroid	pig#Lung#Erythroid	pig#Heart#Stromal
human#Lung#Epithelial	0.806108198012065	1.11792076465033	0.711088968208757	10.6736850772048	0.4701239958627	0.250017345349327	0.747442655091928	0.313580411342995	0.517636979315937	0.58963470889226	1.25597551885457	0.663805805196213	0.438511564470159	0.232011571706107	0.502375585201716	1.23970295126551	0.372817642478858	0.569275720345975	0.354948087107097	2.01749030375031	0.373910472929867	0.791326482007837	1.1114297310015	1.93404074470208	1.06964487089463	1.18023861305349	1.00211061337654	0
human#Heart#Muscle	0.576454538549299	2.70298056361716	0.424502424694406	0.631719645141323	0.382612541049284	0.353654234396944	1.09745494211839	0.588196431750507	0.168574583230406	0.388650982000834	0.944271548207359	0.512481930203791	0.364489145352672	1.59716401707951	0.164413056666976	0.551760665351144	0.373652194735103	33.901362926305	0.117058940636108	0.630061381432911	0.123262994801613	0.656431641208169	0.462982553866128	0.327645307993073	0.522783781220501	0.380453896279394	1.00436034581869	2.32106196234828
human#Heart#Epithelial	1.14939879535612	1.01147452873353	0.665725066809626	1.73180735126471	0.83861524404949	0.319161197627416	1.35454908443576	0.446781484918456	0.299506510863328	0.55296211921656	7.59233660390522	0.541858110353607	0.625678506074501	0.849141508001951	0.906370582355052	1.64640573293073	0.807969251778537	0.49979930926452	1.03596851250877	1.2319193750178	0.531588214127045	1.43722652046607	0.489261944828585	0.346200298426811	1.33369230363428	0.608446201924935	1.74721959401539	2.07504947972233
human#Kidney#Epithelial	1.64030387001477	2.03674083754075	0.689372291893611	2.92163976828249	0.816965890652267	0.330202960591313	0.7589073592524	0.227186905279285	0.43769235150168	0.572201702031835	0.620862815320644	1.16204205790058	0.817595114929036	1.25683666338413	0.550725126017433	0.920911421225683	0.727349823128872	0.517058077564308	0.931747509261863	1.73590601907248	1.28073669526879	1.97607675255001	1.0363606272153	0.358065284685365	0.377752376523534	0.629354990692789	0.870482690009698	0
human#Liver#Endothelial	1.13895332067301	0.378298468828656	1.03767630610126	0.29768893271898	1.55015498882142	2.609516613085	0.77254761063126	0.470518273785613	0.577927957335231	6.77582596495334	0.469195335830756	1.84082588641422	0.832176026433984	0.616255838957079	2.2470720038646	0.614159515202528	1.42409694925598	0.969536620435486	0.80732354061421	0.274751533837701	0.137026338689559	0.432163730733397	1.24028457509079	0.740735560858266	0.190549273791687	0.423041115191766	0.658132956391764	1.04897390513957
human#Muscle#Muscle	0.491573769803436	0.721740857129128	0.422837014802359	0.473873553340023	0.469228588919825	0.497423789264685	0.991881599230085	0.932323472867263	0.34677526694618	0.641029066425119	0.786650907443236	0.44374285258752	0.26482005837805	32.7894144426763	0.723498384280569	0.559716428559772	0.81460770777565	1.4500630898043	0.434959508071731	1.42877536321254	1.95632422492354	0.971292851147846	0.76096989357804	0	0.422424952515332	0.94757806026194	0.723523943857414	0.37416724343644
human#Kidney#Endothelial	1.41416893101249	0.711256038109458	0.350711548626197	0.951338882310923	0.926805929694202	0.964098754288543	0.768291584371349	0.343116780820695	0.684611019839335	1.83965446872142	0.945614949903949	4.68329756379208	0.0938338812148295	0.729325614389658	2.5422671402311	0.726500921784598	0.74617233613184	0.751253559374004	1.46398007763296	0.829011400818596	0.832731227715707	1.60277390612884	3.11897185992784	0.430146262383901	0.224875276191826	0.756454815310381	1.60171914047826	1.23910538076164
human#Lung#Stromal	1.46295057565397	0.327417675122353	1.8794838095064	0.960359245799953	1.06241542408193	1.27624916031299	0.701443387142577	0.0679364464595472	0.148208058666638	0.254103584884634	1.57934731350489	0.382925691315894	0.0946765393326656	1.06998939881461	0.902763704969848	1.52281272600904	4.95236699872383	1.15916343886682	0.154953511681332	1.73685809978006	0.163165824891446	1.23892753193794	1.25898913756093	0.883359481490815	6.78012605136991	0.249589942956328	1.61634225138387	2.60825043376614
human#Liver#Stromal	1.84049955107715	0.336777931975607	1.86975699509664	0.365514101252889	1.15983640108741	1.31366690422529	4.01628037927491	0.283352187092124	0.0758027286092184	1.19516104725251	1.96398034164903	0.194614392733466	0.497465580832564	0.756806318237372	0.223823674979462	1.28878942729644	2.82952110926072	1.76773019766756	0.65102641853466	0.682911205023104	0	0.173822192479431	0.206782252219328	0.446096839424184	0.470626112987494	0.256510998173858	0.263529105076327	4.73889303615365
human#Muscle#Stromal	0.390948652456021	0.534471599793856	0.562722311061115	0.390055274964176	0.181104110810562	0.515930952355342	1.71582984168576	0.225469732876693	0.244872199154624	0.373408765484401	1.50275780091588	0.972950955924866	0.31467386264174	1.17530817447609	0.733911175550144	0.394338806100633	13.5324025240745	0	3.47979959140557	0.728332279160346	0.360224905470005	2.87731783897685	0.672716759748702	0	14.8819765377398	0.273397923861379	0.567433612528448	8.20389272076639
human#Kidney#Stromal	1.02389129823808	0.549740986483219	1.41934762725578	0.460333762989022	0.709819521665706	0.609155504962303	1.58012139242892	0.390130136500377	0.166798042011298	0.888304686411829	0.740934231937593	1.48023738506692	0.658239361306657	0.830022317906515	0.754158290094824	1.41483016289516	2.25712854137584	0.56211323132261	0.898483384475585	1.96122096342079	0.751628902979467	8.22280511723012	1.67066384594061	0.995031317605402	1.89181982832137	1.15754944446866	1.82206930486518	2.41477463321722
human#Muscle#Endothelial	0.675196377941043	1.25359552504561	0.546711147740593	0.678016913467253	0.749348552706104	0.395184210306259	0.924674040992269	1.02639049011553	0.265142983285656	1.50284309363965	0.326899027847149	4.69489230362443	0.457114124970698	0.120373576490487	3.59485160648335	0.573201582478159	0.290302257784091	0.592607658158916	2.62449738856885	0.58697305236919	1.63672342600809	0.611326933702458	10.2754260363656	0.255031177616891	0.268972472458552	0.905910584314022	0.93103159247407	0
human#Liver#Immune	1.37793415592358	0.285298933896866	0.492564899054521	0.367300776760432	3.36554665568067	2.35816550018497	0.9421962034109	0.418979055820018	5.84996610081317	1.4135460937406	0.561694137956802	0.463092930054983	1.20875442018644	0.122569633151352	0.810164556852693	0.88783376281626	0.446503829530939	0.449515442741794	0.187044213835543	0.597760866322125	0.600420337946259	0.411667128518505	0	1.92385336654452	0.273878789087815	1.24287664065576	0.309517024831302	0
human#Heart#Immune	1.13632490975866	0.320584774513001	0.805479638440863	0.639124235572149	1.91006931446795	0.735210529024002	0.870469359691737	0.651689395794039	7.32936862576628	0.529775965643522	0.874270006992523	0.750037130722191	0.598788639139751	0.157157908869953	0.337564661884784	1.1445219376753	0	0	0.239824593496366	0.507410897370091	2.74397182661727	0	0	12.6122860555608	0	0	0	0
human#Lung#Immune	1.12928265778471	0.0994495338860073	0.436720747713584	1.10473877803664	1.67592338276705	1.20256203819194	0.473823162619154	0.236251304309818	6.27508798863872	0.440904628971142	0.316181057440524	0.495576163003395	0.498194455279232	0.353703613269724	0.766573739240322	0.839619558756043	0.210072243871022	0.426603934803507	0.267704884323805	1.45861489221267	4.8600506363537	0.292195883309522	0	11.0517905079701	0	0.431188527949464	1.83767323658832	0
human#Lung#Endothelial	0.921008542535395	0.314706912852492	0.542690944736635	0.545071952395222	0.601958533036811	0.139321952457852	0.741388574547422	0.292435880498469	0.480482984922507	0.927320985988345	0.193933149557455	3.98093036120549	0.202099924614061	0.892285022778373	9.77468959758917	1.04211268024924	0.794659751300626	0.528084770653271	1.01444002288224	3.83638260123034	1.06862617612924	0	5.34314492779825	1.90731336192133	0.981484434716521	0	0.547677110871979	0.866108547244754
human#Heart#Endothelial	0.677961478874335	0.41135944931906	0.465056577133477	0.113817462683412	0.253432134401898	0.458740612754709	0.970123936558777	0.810409934754064	0.880458291234788	1.00194475350602	0.422192622017938	4.94788053464679	0.897367392102299	0	4.32607804758583	0.551110472349303	0	0.281885330096833	11.9309082291826	0	0.375739422369656	2.04075370335559	0.938236041948617	1.52482317073323	1.6091953715023	1.16535389175794	2.46300873349978	2.9031236849568
human#Heart#Stromal	0.716714234745426	0.358378558549513	0.881262886690084	0.241697053317602	0.266813287725978	1.17104593903635	2.37478169696106	0	0.17861838665197	0.621203409039061	2.14838236532968	0.228112084855139	0.229311491006605	1.01524966132188	0.530019252452087	2.14425931188617	3.62066360695511	0	2.38968418224711	2.06465504470427	0	3.57176802609619	0.987795393064819	1.05660296416228	7.69538734329838	0.604883324010058	0.621435486358509	10.2777026475212
