	pig#Liver#Neural	pig#Kidney#Epithelial	pig#Muscle#Neural	pig#Lung#Epithelial	pig#Heart#Immune	pig#Muscle#Immune	pig#Liver#Stromal	pig#Liver#Erythroid	pig#Liver#Immune	pig#Liver#Endothelial	pig#Heart#Epithelial	pig#Kidney#Endothelial	pig#Liver#Epithelial	pig#Muscle#Muscle	pig#Lung#Endothelial	pig#Heart#Neural	pig#Muscle#Stromal	pig#Heart#Muscle	pig#Heart#Endothelial	pig#Lung#Muscle	pig#Kidney#Immune	pig#Kidney#Stromal	pig#Muscle#Endothelial	pig#Lung#Immune	pig#Lung#Stromal	pig#Kidney#Erythroid	pig#Lung#Erythroid	pig#Heart#Stromal
human#Lung#Epithelial	0.223143750710125	0.503045406875585	0.171252244615102	5.80931540621489e-80	0.0105132614097431	0.000263452533056222	0.332654625973126	0.00135026469315829	0.0558599891844815	0.137991735543169	0.330483939281833	0.2581222498445	0.0445618527142368	0.00286088382277446	0.0956380574217866	0.428145792172643	0.036931509845204	0.199206497102684	0.0697261755118348	0.0151192543738925	0.094171422442556	0.709075736600438	0.684412696619026	0.0527454747093921	0.827510885827366	0.647833705845983	1	0.0788693150927012
human#Heart#Muscle	0.00223587285293109	7.26124122476176e-14	0.00285965322423913	0.0722528948687658	0.00178551708537729	0.00249090248926176	0.628486041588807	0.0870576546807665	6.32244842785547e-05	0.0146061840207304	1	0.0867271380454424	0.0149214339470399	0.055482387499917	0.0011873916799511	0.202030786917023	0.036931490553969	2.35691297335997e-126	0.00364538089667789	0.457796314326924	0.00526789634735331	0.453444230989287	0.22127996872143	0.134871020489289	0.383106622703695	0.250511100927468	1	0.0397228977319022
human#Heart#Epithelial	0.348720461426833	0.931507985924611	0.128463890393612	0.00316006527030517	0.570052194702224	0.00185767124293623	0.169658876874131	0.0169546358017719	0.00245008394930433	0.0983591043870125	1.30017356230203e-33	0.142114577332636	0.240794065361752	0.762243088632929	0.877026919846995	0.0710670039427432	0.740996092944612	0.137017710676726	0.853197072089161	0.567654561752798	0.256635676854927	0.246826997732396	0.292667437554944	0.187304056861322	0.37904533974263	0.63768583421965	0.149037931847651	0.127400549418572
human#Kidney#Epithelial	0.000456456997605277	1.21234522896706e-06	0.185064727753697	1.34152402930892e-10	0.48957477686414	0.00246852659151612	0.377451028653767	0.000308427296750195	0.0238387986641296	0.123982453839051	0.241711144864887	0.553142224499088	0.656062498706544	0.35983075077425	0.202472291460247	1	0.50491170460535	0.177529778808902	1	0.0799595432989406	0.439522995279689	0.0282055760795171	0.831510513134214	0.18289557391935	0.25226959817245	0.634170212443323	1	0.122876448763791
human#Liver#Endothelial	0.379483459735936	4.21909469502758e-05	0.824502037354675	0.000208906023649925	0.027334594602032	4.90920803719037e-07	0.443528952969955	0.0286083270368138	0.110059318758158	2.07967260296315e-29	0.0756606719642042	0.015645196082172	0.763685161787977	0.276233991418998	0.0011054406914031	0.315961362900655	0.234656107529626	1	0.848883938877438	0.0509881004898817	0.0110008736630219	0.167250398954577	0.518475479916317	0.822896759360689	0.0665611134798218	0.335183702362047	0.632142553923368	0.764229157218808
human#Muscle#Muscle	0.000562599060816346	0.139688024594813	0.00710089099790278	0.0142775156114645	0.020245220326187	0.0474134718591004	1	0.893855832124766	0.0112519594327218	0.298054373411145	0.643781519193413	0.0830342650662717	0.0110234069416037	8.53159147879012e-124	0.505158028241064	0.29250061336816	0.725792210838579	0.213447686191046	0.167347859443131	0.306558874988105	0.0384585131720175	1	0.821650752769726	0.016791523812344	0.335837691303172	1	0.801095199217243	0.524781236770944
human#Kidney#Endothelial	0.0300499299224224	0.127168968923487	0.00242594730495762	1	0.899931517057643	1	0.489550125944956	0.00813511900925504	0.313913016649616	0.0137802431694942	1	1.09811417026626e-13	0.000568225980725252	0.504872234348921	0.000355592189262705	0.588230541155114	0.58727127640236	0.712667813041267	0.300504160540097	0.835768474141676	0.835778773675048	0.19363121356795	0.000381468252424489	0.333985977521149	0.135592222358236	1	0.285942400907136	0.737322875508037
human#Lung#Stromal	0.014884849966667	3.10227170959178e-05	0.00157554262971411	1	0.800267369085852	0.33621073897717	0.331599073142177	1.82018937470982e-05	0.000400994524726131	0.00798937695562413	0.0800618341600067	0.0498799264461974	0.000864606071377594	0.738168102981079	1	0.149107891534516	3.01830429992725e-12	0.583248071727498	0.0228215733077956	0.0919354969518287	0.0329300849524574	0.518994359556311	0.486669245201319	1	6.76717021798751e-12	0.191373292983926	0.283752161093208	0.0342859523520014
human#Liver#Stromal	6.51268749238313e-05	5.73306416918032e-05	0.00205878548125039	0.00443580574790927	0.521955143552629	0.2661982973767	3.32588805270545e-13	0.00428279527209799	8.94220535611033e-05	0.531861532232134	0.00886405423099332	0.0047679805513897	0.137160691891414	0.608911866283414	0.013386271307448	0.460324015006092	9.26760279537804e-05	0.0596953174169464	0.532384306689311	0.667577113549919	0.00475864112327274	0.0473970682471862	0.0953320425815545	0.331982265081771	0.447848188847341	0.19000394143921	0.277782757644927	0.000120353946793329
human#Muscle#Stromal	8.09661967450109e-05	0.0120499668802498	0.0771651930159962	0.00763878447088555	0.000173844913277616	0.0857144563102316	0.028316813612467	0.00198696566489114	0.00569437579796208	0.0368421021609743	0.134962622615087	1	0.0389143392093737	0.596715411517407	0.587567758954178	0.127285703566614	7.79046641739222e-43	0.00152920845777745	1.70097962946886e-05	0.824344084223298	0.18314335656785	0.000791257900379092	0.805102161405642	0.037845353527941	2.60139382485788e-29	0.272163533025873	0.588672702916813	4.82822714953186e-09
human#Kidney#Stromal	0.854303578226657	0.0192035389048608	0.124425057414272	0.0285439069919909	0.348241290208528	0.192797914747646	0.0761248224332653	0.0263785991772552	0.00115240916945593	0.87123801743334	0.610820172890647	0.16890428998648	0.390698041287499	0.858058528574626	0.712182029357996	0.25326114470632	0.00554507800181655	0.330879410422947	1	0.0449288801575158	0.822345877085755	7.9073035262484e-18	0.208253706724318	1	0.109227971247085	0.7803908681818	0.155897130026001	0.0650554810272419
human#Muscle#Endothelial	0.0729408072115329	0.252613558985277	0.087259372349667	0.238932428221741	0.412589801261082	0.0358181419835378	1	0.879752741366019	0.0108051864623292	0.134947977376777	0.0374917892814586	5.88223403576346e-12	0.154491997024534	0.0053681863443437	5.01595809663119e-07	0.330294789828168	0.0711094059710083	0.423112724522324	0.00251994044451953	0.49442689037525	0.167612144581735	0.637966123578533	7.59869743207496e-20	0.190550151115731	0.274726715770394	1	1	0.274232306758497
human#Liver#Immune	0.0698698161847396	3.60660749501747e-05	0.0466844865391105	0.00781323225820083	7.58981301991371e-10	0.000228272223656771	1	0.0464788860335327	1.436895686286e-19	0.236518314258194	0.291349863908496	0.152993645085175	0.480149146691549	0.00529344905790168	0.848732965100355	1	0.225039634058749	0.224204658895168	0.0678887284935107	0.493967053462851	0.493959305783908	0.340845978587089	0.0363223958855193	0.104959506365478	0.272223205785516	0.568956647558472	0.381399683324961	0.272335026673699
human#Heart#Immune	0.519573591338789	0.000820820736636945	0.654571118316567	0.294431532684937	0.0115621146304162	0.610524647096165	0.864308261449791	0.389618612833932	8.66894393671411e-22	0.256146484911352	1	0.689458429380235	0.421480647070254	0.0342912147714597	0.133229878262477	0.655595521332538	0.0108358671892427	0.0107462624018928	0.196490903461639	0.598060516968597	0.00550275489415809	0.0562922873474628	0.0796365073592859	9.69541844693668e-20	0.120285677985865	0.1874833793968	0.183891655474639	0.412115751466485
human#Lung#Immune	0.570935618794542	2.18128785188032e-06	0.0596765790323492	0.75226980469935	0.0679651484259285	0.590904429899088	0.150283426505661	0.0269247175701405	4.29556312505349e-16	0.225479250384571	0.0964755815055531	0.291712922827155	0.291535398632533	0.184308462217429	0.821348314831989	1	0.0947912032881607	0.334923105704166	0.275650523554361	0.402621540458056	2.0624711094395e-06	0.267858742523716	0.121068282750774	1.6641851524539e-15	0.185516131649849	0.731195551329356	0.288318193952116	0.407561494474446
human#Lung#Endothelial	0.899897846945932	0.00514460766623725	0.22221221187869	0.22197756064668	0.360509365800191	0.0157637728081439	0.688690895648162	0.0690892992689324	0.292778897915876	1	0.065976043858612	6.25957161432512e-06	0.0958387128653702	1	1.32561307178425e-18	0.795070486303546	1	0.59236490925785	0.77157715323596	0.000548148161568965	0.760777194392233	0.11864735272742	1.88739586410084e-05	0.168033967521492	1	0.268251052595648	1	1
human#Heart#Endothelial	0.240112008117898	0.0300444297166602	0.148081641048335	0.00335245231317665	0.0355032392375172	0.219347084061817	1	0.835069396380041	1	1	0.334735387688118	9.79912962274351e-08	1	0.0232535211625721	8.23392114650761e-06	0.589125521088833	0.0524878165013359	0.268754692670994	2.69183821959685e-17	0.117806944333369	0.525727905963219	0.109015736986268	1	0.454257374296754	0.440969974787544	0.691369469186639	0.0876902873770102	0.0918506926194432
human#Heart#Stromal	0.34843245912651	0.0175031889407672	1	0.0248273554780422	0.0497982628108696	0.672098718568312	0.00832979142400103	0.00454774699405534	0.0456797605534102	0.634588638418812	0.0434497955711777	0.133848658024099	0.133687728903649	0.799699697180765	0.591577835676438	0.0857091711230391	0.000488007359404493	0.0821642110559878	0.0474250105323864	0.105355819094003	0.184070890201646	0.00282823137281708	1	0.714862111452866	2.39962619422563e-07	1	1	7.69136666453166e-07
